temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
1.61,0.04,0.102136,0.0196484,6.25107,10.4812,17.8758
1.61,0.07,0.102136,0.0196484,6.25107,10.4812,17.7253
3.5,0.22,0.116091,0.022138,5.1519,7.74304,14.6481
2.71,0.14,0.0980227,0.0225867,5.53813,8.52618,16.0662
2.71,0.05,0.0980227,0.0225867,5.53813,8.52618,16.3309
2.71,0.27,0.0980227,0.0225867,5.53813,8.52618,16.6759
0.28,0.26,0.0980227,0.0225867,9.27978,16.4011,20.6531
0.28,0.22,0.0980227,0.0225867,9.27978,16.4011,19.5859
2.71,0.15,0.0980227,0.0225867,5.53813,8.52618,14.4763
2.71,0.22,0.0980227,0.0225867,5.53813,8.52618,13.6563
1.34,0.17,0.110142,0.0219376,6.60659,10.1832,14.4261
3.69,0.02,0.109509,0.0218898,5.07121,16.4011,13.9591
3.69,0.02,0.109509,0.0218898,5.07121,16.4011,13.8599
0.06,0.15,0.116091,0.022138,11.723,20.679,18.8335
0.06,0.11,0.116091,0.022138,11.723,20.679,18.8637
0.06,0.15,0.116091,0.022138,11.723,20.679,18.8949
1.4,0.18,0.102136,0.0227871,6.5167,11.9287,16.5016
0.06,0.15,0.116091,0.022138,11.723,20.679,19.2141
24.56,0.09,0.109509,0.0218898,2.86555,10.697,10.5835
0.06,0.15,0.116091,0.022138,11.723,20.679,18.3519
0.06,0.13,0.116091,0.022138,11.723,20.679,17.6169
0.06,0.11,0.116091,0.022138,11.723,20.679,15.7524
0.06,0.15,0.116091,0.022138,11.723,20.679,18.0366
