temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
51.35,0.08,0.11153,0.0209495,3.96631,6.39103,4.58262
54.27,0.14,0.11153,0.0209495,2.99914,5.76,4.10386
39.93,0.14,0.106041,0.0206906,2.99914,5.76,4.1782
26.61,0.14,0.109169,0.0202103,3.072,5.84891,4.7779
26.6,0.17,0.106568,0.0205644,2.95891,5.84891,4.62639
26.6,0.17,0.106568,0.0205644,4.62397,5.84891,0.866233
27.76,0.11,0.0991013,0.0217709,3.91605,6.01055,4.30188
26.6,0.09,0.106041,0.0206906,3.4346,5.84891,4.85451
48.1,0.05,0.109169,0.0202103,4.99707,6.21261,4.02552
60.52,0.13,0.109169,0.0123177,3.46332,5.76,4.32374
27.76,0.12,0.106568,0.0205644,3.59583,6.01055,4.30304
81.35,0.13,0.105387,0.020444,3.4346,5.76,4.06219
60.52,0.05,0.109169,0.0123177,5.05073,6.19181,4.17939
204.81,0.05,0.109169,0.0202103,5.05073,6.21261,4.02753
29.12,0.04,0.121391,0.0225057,3.8782,11.7795,4.34445
23.54,0.08,0.108784,0.0224011,3.84659,5.59194,4.39838
30.59,0.08,0.121391,0.0225057,4.02227,5.59194,4.4514
30.59,0.08,0.121391,0.0218691,4.67156,6.76135,4.55064
30.59,0.01,0.12611,0.0216843,4.29325,5.59194,4.43689
29.12,0.05,0.121391,0.0218691,5.05073,12.0336,4.27029
25.44,0.08,0.110704,0.0220667,4.67156,6.76135,4.52917
18.88,0.08,0.124652,0.0214254,4.02227,5.59194,4.50401
39.34,0.04,0.124652,0.0186011,5.78554,8.29331,4.28098
17.29,0.04,0.110704,0.0227539,3.91605,6.19181,4.12772
29.12,0.05,0.123278,0.0215755,5.05073,12.0336,4.3997
23.54,0.08,0.108784,0.0224011,4.67156,6.76135,4.45995
30.59,0.08,0.124652,0.0214254,4.02227,5.59194,4.55579
17.29,0.04,0.110704,0.0227539,4.67156,6.60309,4.59798
30.59,0.08,0.12611,0.0216843,4.02227,5.59194,4.44966
30.59,0.08,0.124652,0.0214254,3.84659,5.59194,4.4547
30.59,0.08,0.12611,0.0216843,4.02227,5.59194,4.47029
22.52,0.04,0.0416102,0.00292262,5.05073,12.0336,4.1669
29.12,0.05,0.12611,0.0216843,3.2285,11.9825,4.23902
17.29,0.04,0.110704,0.00765765,5.78554,7.90937,4.18988
29.12,0.05,0.121391,0.0225057,3.16655,11.7795,4.49299
17.29,0.05,0.110704,0.0186215,4.93303,11.8547,4.46185
17.29,0.04,0.110704,0.0227539,3.84659,5.59194,4.43875
29.12,0.05,0.122178,0.0211788,3.4346,12.0336,4.26837
29.12,0.05,0.124652,0.0214254,3.2285,12.0336,4.43596
27.76,0.04,0.121391,0.0225057,3.96631,6.19181,4.43671
265.48,0.08,0.126752,0.0112025,4.99707,5.59194,4.18685
17.29,0.05,0.110704,0.0227539,4.93303,11.8547,4.65764
40.5,0.01,0.119994,0.0221795,5.78554,8.20898,4.31706
29.12,0.05,0.119994,0.0221795,3.2285,12.0336,4.37411
45.13,0.04,0.123502,0.0209451,5.05073,6.21261,4.11992
29.12,0.05,0.12611,0.0216843,3.4346,11.9825,4.32943
27.76,0.04,0.12611,0.0216843,4.25389,6.21261,4.45575
27.76,0.04,0.124652,0.0214254,4.29325,6.21261,4.5724
27.76,0.01,0.119994,0.0221795,4.25389,6.21261,4.43766
265.48,0.08,0.126752,0.0219543,4.99707,5.59194,4.21951
19.05,0.04,0.119994,0.0221795,4.25389,6.21261,4.30109
78.36,0.01,0.126752,0.0219543,4.99707,5.59194,4.23041
